"source";"target";"value"
1013;1014;4
1013;1015;4
1013;119;4
1013;1016;4
1013;1017;4
1013;1018;4
1013;1019;4
1013;1020;4
1013;1021;4
1013;1022;4
1013;1023;4
1013;1024;4
1013;1025;4
1014;1015;4
1014;119;4
1014;1016;4
1014;1017;4
1014;1018;4
1014;1019;4
1014;1020;4
1014;1021;4
1014;1022;4
1014;1023;4
1014;1024;4
1014;1025;4
1015;119;4
1015;1016;4
1015;1017;4
1015;1018;4
1015;1019;4
1015;1020;4
1015;1021;4
1015;1022;4
1015;1023;4
1015;1024;4
1015;1025;4
119;1016;4
119;1017;4
119;1018;4
119;1019;4
119;1020;4
119;1021;4
119;1022;4
119;1023;4
119;1024;4
119;1025;4
1016;1017;4
1016;1018;4
1016;1019;4
1016;1020;4
1016;1021;4
1016;1022;4
1016;1023;4
1016;1024;4
1016;1025;4
1017;1018;4
1017;1019;4
1017;1020;4
1017;1021;4
1017;1022;4
1017;1023;4
1017;1024;4
1017;1025;4
1018;1019;4
1018;1020;4
1018;1021;4
1018;1022;4
1018;1023;4
1018;1024;4
1018;1025;4
1019;1020;4
1019;1021;4
1019;1022;4
1019;1023;4
1019;1024;4
1019;1025;4
1020;1021;4
1020;1022;4
1020;1023;4
1020;1024;4
1020;1025;4
1021;1022;4
1021;1023;4
1021;1024;4
1021;1025;4
1022;1023;4
1022;1024;4
1022;1025;4
1023;1024;4
1023;1025;4
1024;1025;4
3629;385;4
3629;328;4
3629;3089;4
3629;3630;4
3629;2960;4
3629;1960;4
3629;3631;4
3629;1497;4
3629;3632;4
3629;549;16
3629;3633;4
3629;325;4
3629;3045;4
3629;3524;4
3629;1623;4
3629;479;4
3629;285;4
3629;3634;4
3629;1660;4
3629;699;4
3629;3635;4
3629;17;4
3629;3636;4
3629;2095;4
3629;142;4
3629;1530;4
3629;1619;4
3629;1729;4
3629;3637;4
3629;3638;4
3629;3070;4
3629;277;4
3629;460;4
3629;241;4
3629;3639;4
3629;3640;4
3629;3641;4
3629;1013;4
3629;1593;4
3629;3642;4
3629;3643;4
3629;3644;4
3629;3645;4
3629;1432;4
3629;523;4
3629;3646;4
3629;266;4
3629;3647;4
385;328;4
385;3089;4
385;3630;4
385;2960;4
385;1960;4
385;3631;4
385;1497;4
385;3632;4
385;549;16
385;3633;4
385;325;4
385;3045;4
385;3524;4
385;1623;4
385;479;4
385;285;4
385;3634;4
385;1660;4
385;699;4
385;3635;4
385;17;4
385;3636;4
385;2095;4
385;142;4
385;1530;4
385;1619;4
385;1729;4
385;3637;4
385;3638;4
385;3070;4
385;277;4
385;460;4
385;241;4
385;3639;4
385;3640;4
385;3641;4
385;1013;4
385;1593;4
385;3642;4
385;3643;4
385;3644;4
385;3645;4
385;1432;4
385;523;4
385;3646;4
385;266;4
385;3647;4
328;3089;4
328;3630;4
328;2960;4
328;1960;4
328;3631;4
328;1497;4
328;3632;4
328;549;16
328;3633;4
328;325;4
328;3045;4
328;3524;4
328;1623;4
328;479;4
328;285;4
328;3634;4
328;1660;4
328;699;4
328;3635;4
328;17;4
328;3636;4
328;2095;4
328;142;4
328;1530;4
328;1619;4
328;1729;4
328;3637;4
328;3638;4
328;3070;4
328;277;4
328;460;4
328;241;4
328;3639;4
328;3640;4
328;3641;4
328;1013;4
328;1593;4
328;3642;4
328;3643;4
328;3644;4
328;3645;4
328;1432;4
328;523;4
328;3646;4
328;266;4
328;3647;4
3089;3630;4
3089;2960;4
3089;1960;4
3089;3631;4
3089;1497;4
3089;3632;4
3089;549;16
3089;3633;4
3089;325;4
3089;3045;4
3089;3524;4
3089;1623;4
3089;479;4
3089;285;4
3089;3634;4
3089;1660;4
3089;699;4
3089;3635;4
3089;17;4
3089;3636;4
3089;2095;4
3089;142;4
3089;1530;4
3089;1619;4
3089;1729;4
3089;3637;4
3089;3638;4
3089;3070;4
3089;277;4
3089;460;4
3089;241;4
3089;3639;4
3089;3640;4
3089;3641;4
3089;1013;4
3089;1593;4
3089;3642;4
3089;3643;4
3089;3644;4
3089;3645;4
3089;1432;4
3089;523;4
3089;3646;4
3089;266;4
3089;3647;4
3630;2960;4
3630;1960;4
3630;3631;4
3630;1497;4
3630;3632;4
3630;549;16
3630;3633;4
3630;325;4
3630;3045;4
3630;3524;4
3630;1623;4
3630;479;4
3630;285;4
3630;3634;4
3630;1660;4
3630;699;4
3630;3635;4
3630;17;4
3630;3636;4
3630;2095;4
3630;142;4
3630;1530;4
3630;1619;4
3630;1729;4
3630;3637;4
3630;3638;4
3630;3070;4
3630;277;4
3630;460;4
3630;241;4
3630;3639;4
3630;3640;4
3630;3641;4
3630;1013;4
3630;1593;4
3630;3642;4
3630;3643;4
3630;3644;4
3630;3645;4
3630;1432;4
3630;523;4
3630;3646;4
3630;266;4
3630;3647;4
2960;1960;4
2960;3631;4
2960;1497;4
2960;3632;4
2960;549;16
2960;3633;4
2960;325;4
2960;3045;4
2960;3524;4
2960;1623;4
2960;479;4
